mt_out1,mt_out2,mt_out3
"Iako u društvu, sve <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""Project Manager"" id=""2770""/>to<mqm:endIssue id=""2770""/> nije <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""Project Manager"" id=""2771""/>siva<mqm:endIssue id=""2771""/> uzrokuje agresiju i uznemirenost <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""Project Manager"" id=""2772""/>od loših<mqm:endIssue id=""2772""/>.","Iako u društvu, sve <mqm:startIssue type=""Mistranslation"" severity=""null"" note=""stoji?"" agent=""Project Manager"" id=""2773""/>to <mqm:endIssue id=""2773""/>nije <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""Project Manager"" id=""2774""/>siva<mqm:endIssue id=""2774""/> uzrokuje agresiju i uznemirenost <mqm:startIssue type=""Extraneous"" severity=""null"" note="""" agent=""Project Manager"" id=""2775""/>od<mqm:endIssue id=""2775""/> loše vrste.","Iako u društvu, sve što nije sivo uzrokuje agresiju i uznemirenost loše vrste."
Mislim da ove godine.,"Mislim da je ovo<mqm:startIssue type=""Missing"" severity=""null"" note="""" agent=""annotator2"" id=""2776""/> <mqm:endIssue id=""2776""/>godina.","Mislim da je ovo<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3503""/> <mqm:endIssue id=""3503""/>godina."
"Pokreti <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2777""/>su bili nije snimio<mqm:endIssue id=""2777""/> kamerom, <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2778""/>ali<mqm:endIssue id=""2778""/> rukom <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2779""/>narukvicu<mqm:endIssue id=""2779""/> koja <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2780""/>određuje <mqm:endIssue id=""2780""/>kretanje kostiju i mišića.","Pokreti nisu bili zabilježeni kamerom, <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2781""/>ali od strane<mqm:endIssue id=""2781""/> <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2782""/>narukvicu <mqm:endIssue id=""2782""/>koja <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2783""/>određuje <mqm:endIssue id=""2783""/>kretanje kostiju i mišića.","Pokrete <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""3504""/>nisu snimile<mqm:endIssue id=""3504""/> kamera, već ručna narukvica koja je <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""3505""/>odredila <mqm:endIssue id=""3505""/>kretanje kostiju i mišića."
,Koji je cilj kluba u ovom natjecanju,Koji je cilj kluba u ovom natjecanju
,- što to u Sankt Peterburgu znači,- Što tebi znači Sankt Peterburg
"U stvari, <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""Project Manager"" id=""2784""/>nisu <mqm:endIssue id=""2784""/>sve čestice, ili <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""Project Manager"" id=""2785""/>sve materijale<mqm:endIssue id=""2785""/>, <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""Project Manager"" id=""2786""/>komunicirati <mqm:endIssue id=""2786""/>s elektromagnetskim poljem.","U stvari nisu sve čestice, ili <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""Project Manager"" id=""2787""/>sve materijale<mqm:endIssue id=""2787""/>,<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""Project Manager"" id=""2788""/> <mqm:endIssue id=""2788""/>komunicirati s elektromagnetskim poljem.","U stvari nisu sve čestice, niti svi materijali, u interakciji sa elektromagnetskim poljem."
"<mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2789""/>Blizu <mqm:endIssue id=""2789""/>tisuću web stranica <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2790""/>bit novčiće<mqm:endIssue id=""2790""/> <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2791""/>prihvatiti <mqm:endIssue id=""2791""/><mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2792""/>kao <mqm:endIssue id=""2792""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2793""/>donacija <mqm:endIssue id=""2793""/>ili <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""2794""/>sredstvima plaćanja<mqm:endIssue id=""2794""/>.","<mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2795""/>Blizu <mqm:endIssue id=""2795""/>tisuću web stranica <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2796""/>prihvati <mqm:endIssue id=""2796""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2797""/>bit novčiće<mqm:endIssue id=""2797""/> <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2798""/>kao <mqm:endIssue id=""2798""/>donacije ili sredstva plaćanja.","<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3506""/>Blizina <mqm:endIssue id=""3506""/>tisuću web stranica prihvaća <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3507""/>kučke <mqm:endIssue id=""3507""/>kao donacije ili sredstva za plaćanje."
"U <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2799""/>Evropi<mqm:endIssue id=""2799""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2800""/>postoje <mqm:endIssue id=""2800""/>mnogi znatiželjni ljudi, koji idu na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2801""/>umjetničkim izložbama, koncertima<mqm:endIssue id=""2801""/>.","U Europi, postoje mnogi znatiželjni ljudi, koji idu na likovne izložbe, koncerte.","U Europi ima mnogo znatiželjnih ljudi koji idu na umjetničke izložbe, koncerte."
"Sada, ovo<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2802""/> <mqm:endIssue id=""2802""/><mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2803""/>područje <mqm:endIssue id=""2803""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2804""/>dostupno je<mqm:endIssue id=""2804""/> mnogo, mnogo <mqm:startIssue type=""Gender"" severity=""null"" note="""" agent=""annotator2"" id=""2805""/>stabilniji <mqm:endIssue id=""2805""/>od <mqm:startIssue type=""Number"" severity=""null"" note="""" agent=""annotator2"" id=""2806""/>elektromagnetskih polja<mqm:endIssue id=""2806""/>; <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2807""/>da ga uzbuđuju<mqm:endIssue id=""2807""/>, potrebno je postići vrlo, vrlo visoke razine energije, <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2808""/>a kao<mqm:endIssue id=""2808""/> smrznuto jezerce koje <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2809""/>će trebati<mqm:endIssue id=""2809""/> vrlo veliki kamen <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2810""/>na <mqm:endIssue id=""2810""/><mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2811""/>boru <mqm:endIssue id=""2811""/>površinu.","Sada, ovo<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""2812""/> <mqm:endIssue id=""2812""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2813""/>područje <mqm:endIssue id=""2813""/><mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""2814""/>dostupno <mqm:endIssue id=""2814""/>je mnogo, mnogo stabilnije nego elektromagnetsko polje; <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2815""/>da ga uzbuđuju<mqm:endIssue id=""2815""/>, to je potrebno postići vrlo, vrlo visoku razinu energije, <mqm:startIssue type=""Incorrect"" severity=""null"" note=""to je potrebno, opet slučaj pojavljivanja nečega što postoji u sourceu ali ne treba postojati u targetu"" agent=""annotator2"" id=""2816""/>a kao<mqm:endIssue id=""2816""/> smrznuto jezerce koje <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2817""/>će <ins>trebat<mqm:endIssue id=""2817""/><mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""2818""/>i</ins><mqm:endIssue id=""2818""/><del>trebati</del> vrlo velike <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2819""/>stijene <mqm:endIssue id=""2819""/><mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2820""/>na <mqm:endIssue id=""2820""/><mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2821""/>boru<mqm:endIssue id=""2821""/> površinu.","Ovaj higgsov <mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""3508""/>teren <mqm:endIssue id=""3508""/>je mnogo stabilniji od elektromagnetskog polja, da ga <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3509""/>izlučuje<mqm:endIssue id=""3509""/>, potrebno je postići vrlo, vrlo visoke energetske razine, poput smrznutog ribnjaka <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3510""/>koji <mqm:endIssue id=""3510""/>bi trebao vrlo veliki kamen da <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3511""/>se<mqm:endIssue id=""3511""/> nabora <mqm:startIssue type=""Extraneous"" severity=""null"" note="""" agent=""annotator2"" id=""3512""/>na <mqm:endIssue id=""3512""/>površinu."
"Posebno se upućuje na ""fiqh"" [<mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""2822""/>Islamic<mqm:endIssue id=""2822""/> <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2823""/>sudskom praksom<mqm:endIssue id=""2823""/>,<mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""2824""/> <mqm:endIssue id=""2824""/>urednika].","Posebno se upućuje na ""fiqh"" [<mqm:startIssue type=""Untranslated"" severity=""null"" note="""" agent=""annotator2"" id=""2825""/>Islamic<mqm:endIssue id=""2825""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2826""/>pravničkim<mqm:endIssue id=""2826""/>, Urednik <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2827""/>je <mqm:endIssue id=""2827""/><mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2828""/>napomena<mqm:endIssue id=""2828""/>].","<mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3513""/>Upućivanje <mqm:endIssue id=""3513""/>se posebno odnosi na ""fiqh"" [<mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3514""/>islamsku <mqm:endIssue id=""3514""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3515""/>porotu<mqm:endIssue id=""3515""/>, uredničku <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""3516""/>poruku<mqm:endIssue id=""3516""/>]."
"Postoji širok izbor jela od janjetine i govedine, <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2829""/>juhe<mqm:endIssue id=""2829""/> i <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2830""/>slastice<mqm:endIssue id=""2830""/><ins>Â </ins><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2831""/><del> </del>kuhano <mqm:endIssue id=""2831""/><mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2832""/>koristite<ins>Â </ins><mqm:endIssue id=""2832""/><del> </del>kokosovo mlijeko, tradicionalne židovske <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2833""/>namaz <mqm:endIssue id=""2833""/>paste, razne umake, falafel (kuglice od mljevenog slanutka), voće i povrće.","Postoji širok izbor jela od janjetine i govedine, <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2834""/>juhe<mqm:endIssue id=""2834""/> i <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2835""/><mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2836""/>slastice<mqm:endIssue id=""2836""/> <mqm:endIssue id=""2835""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2837""/>kuhano <mqm:endIssue id=""2837""/><mqm:startIssue type=""Part of speech"" severity=""null"" note="""" agent=""annotator2"" id=""2838""/>koristi <mqm:endIssue id=""2838""/>kokosovo mlijeko, tradicionalne židovske hummus paste, razne umake, falafel (kuglice od mljevenog slanutka), voća i povrća.","Postoji širok izbor jela od janjetine i goveđeg mesa, <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3517""/>juhe <mqm:endIssue id=""3517""/>i slastica <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3518""/>kuhano <mqm:endIssue id=""3518""/><mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""3519""/>uz <mqm:endIssue id=""3519""/>kokosovo mlijeko, tradicionalni <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3520""/>židovski <mqm:endIssue id=""3520""/>hummus <mqm:startIssue type=""Addition"" severity=""null"" note="""" agent=""annotator2"" id=""3521""/>pasta<mqm:endIssue id=""3521""/>, <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3522""/>razni <mqm:endIssue id=""3522""/>umaci, falafel (kuglice od mljevene slanine), <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3523""/>voće <mqm:endIssue id=""3523""/>i <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""3524""/>povrće<mqm:endIssue id=""3524""/>."
"Gospodin Zambito <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2839""/>je<mqm:endIssue id=""2839""/> <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2840""/><mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2841""/>predao <mqm:endIssue id=""2841""/><mqm:endIssue id=""2840""/>novac <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2842""/>slobodno <mqm:endIssue id=""2842""/>u proteklom desetljeću, dajući više od 88.000 kanadskih dolara (oko 68.000 eura) za pokrajinske stranke, posebno <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2843""/>onda <mqm:endIssue id=""2843""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2844""/>liberala <mqm:endIssue id=""2844""/>na vlasti.","Gospodin Zambito <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2845""/>je <mqm:endIssue id=""2845""/><mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2846""/><mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2847""/>predao <mqm:endIssue id=""2847""/><mqm:endIssue id=""2846""/>novac <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""2848""/>slobodno <mqm:endIssue id=""2848""/>2000-ih, <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2849""/>daje <mqm:endIssue id=""2849""/>više od 88.000 kanadskih dolara (oko 68.000 eura) <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2850""/>na <mqm:endIssue id=""2850""/><mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""2851""/>pokrajinsku <mqm:endIssue id=""2851""/><mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""2852""/>stranaka<mqm:endIssue id=""2852""/>, posebno <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2853""/>onda <mqm:endIssue id=""2853""/><mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2854""/>liberala <mqm:endIssue id=""2854""/>na vlasti.","Gospodin Zambito <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""3525""/>je dao<mqm:endIssue id=""3525""/> novac <mqm:startIssue type=""Word order"" severity=""null"" note="""" agent=""annotator2"" id=""3526""/>slobodno <mqm:endIssue id=""3526""/>u 2000-ima, dajući preko 88.000 kanadskih dolara (otprilike 68.000 eura) pokrajinskim strankama, posebno liberalima<mqm:startIssue type=""Omission"" severity=""null"" note="""" agent=""annotator2"" id=""3527""/> <mqm:endIssue id=""3527""/>tada <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""3528""/>u <mqm:endIssue id=""3528""/>vlasti."
,Misliš li da mediji očekuju previše PSG-a,Mislite li da mediji očekuju previše od PSG-a
"Međutim, s vremenom, to će postati stvarnost, kada će <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2855""/>ona <mqm:endIssue id=""2855""/><mqm:startIssue type=""Register"" severity=""null"" note="""" agent=""annotator2"" id=""2856""/>ići <mqm:endIssue id=""2856""/>na <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2857""/>dalekom planetu<mqm:endIssue id=""2857""/> u <mqm:startIssue type=""Case"" severity=""null"" note="""" agent=""annotator2"" id=""2858""/>svoje brodove<mqm:endIssue id=""2858""/>, <mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2859""/>a to<mqm:endIssue id=""2859""/> će postati dom za <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2860""/>svoje<mqm:endIssue id=""2860""/> potomke, koji <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2861""/>su rođeni<mqm:endIssue id=""2861""/> u svemiru.","Međutim, s vremenom, to će postati stvarnost, kada će <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2862""/>ona <mqm:endIssue id=""2862""/>ići na udaljeni planet u svojim brodovima,<mqm:startIssue type=""Incorrect"" severity=""null"" note="""" agent=""annotator2"" id=""2863""/> i to<mqm:endIssue id=""2863""/> će postati dom za <mqm:startIssue type=""Mistranslation"" severity=""null"" note="""" agent=""annotator2"" id=""2864""/>svoje <mqm:endIssue id=""2864""/>potomke, koji <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""2865""/>su rođeni<mqm:endIssue id=""2865""/> u svemiru.","Međutim, s vremenom će postati stvarnost, kada će zemljani ići na udaljeni planet u <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""3529""/>njihovim <mqm:endIssue id=""3529""/>brodovima, i postat će dom za <mqm:startIssue type=""Agreement"" severity=""null"" note="""" agent=""annotator2"" id=""3530""/>svoje <mqm:endIssue id=""3530""/>potomke, koji <mqm:startIssue type=""Tense/aspect/mood"" severity=""null"" note="""" agent=""annotator2"" id=""3531""/>su rođeni<mqm:endIssue id=""3531""/> u svemiru."
